"kingdom","kingdomKey","phylum","phylumKey","class","classKey","order","orderKey","family","familyKey","genus","genusKey","species","speciesKey"
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Cicadellidae",9647,"Colladonus",2047272,"Colladonus setaceus",9886059
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Tabanidae",6919,"Hybomitra",1500153,"Hybomitra lasiophthalma",1500240
"Animalia",1,"Arthropoda",54,"Insecta",216,"Plecoptera",787,"Taeniopterygidae",2994,"Strophopteryx",2001525,"Strophopteryx fasciata",2001528
"Animalia",1,"Arthropoda",54,"",NULL,"Araneae",1496,"Araneidae",7359,"Mangora",2159042,"Mangora placida",2159093
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Papaipema",1777971,"Papaipema inquaesita",1778015
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Ctenoplusia",1785305,"Ctenoplusia oxygramma",1785331
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Rhagionidae",5587,"Rhagio",1487291,"Rhagio tringarius",1581780
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Cecidomyiidae",3338,"Dasineura",1594760,"Dasineura folliculi",1595278
"Animalia",1,"Mollusca",52,"Cephalopoda",136,"",NULL,"Tripteroceratidae",4623466,"Allumettoceras",4623469,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Sphecidae",4352,"Sphex",1311747,"Sphex ichneumoneus",1347459
"Animalia",1,"Chordata",44,"Aves",212,"Anseriformes",1108,"Anatidae",2986,"Aythya",2498254,"Aythya marila",2498265
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Ellobiida",9721495,"Ellobiidae",9457,"Carychium",2291060,"Carychium exiguum",2291070
